JUPAS,,,,,,,,,,,,Programme,,,
"",,Target,,,,,,1st,2nd,3rd,4th,,Selection,,
Catalogue Programme/ Stream,,,CHI,ENG,MATH,LS,M1/M2,,,,,Weighted,,,Subject Weighting
"",,Percentile,,,,,,Elective,Elective,Elective,Elective,,Principle,,
No.,,,,,,,,,,,,Total,,,
Faculty of Arts,,,,,,,,,,,,,,,
"",,LQ,3,4,4,4,,4,4,4,,26,,• Liberal Studies (x 0.75)
JS4412,Computer Science and Engineering,UQ,5*,3,5*,3,5,5*,5,4,,45.875,Best 5,"• Mathematics (x 1.5)• M1 or M2 (x 1.75)• Biology, Chemistry, Physics, Comb. Sci, DAT, ICT (x 1.5)• Liberal Studies (x 0.5)"
M,5,4,5*,3,5*,5,4,,,42.5,,,,
LQ,3,5,5,2,5,5,5,,,39.875,,,,
"JUPASCatalogueNo.",Programme/ Stream,"TargetPercentile",CHI,ENG,MATH,LS,M1/M2,"1stElective","2ndElective","3rdElective","4thElective","ProgrammeWeightedTotal","SelectionPrinciple",Subject Weighting
"",,UQ,4,4,5**,4,5*,5*,5*,5,A,65,,• English (x 1.5)
JS4416,Computational Data Science,M,3,5,5,3,5*,5*,5*,A,,61.25,Best 5,• M1 or M2 (x 2)
"",,LQ,5,4,5,5*,5*,5*,5*,,,60,,"• Biology, Chemistry, Physics, Comb. Sci, Economics, ICT (x 2)"
JS4428,BEng in Financial Technology,UQ,4,4,5*,4,5,5*,5,5,,48.875,Best 5,"• English (x 1.25)• Chinese (x 1.25)• Mathematics (x 1.75)• M1 or M2 (x 1.75)• Biology, BAFS, Chemistry,  Physics, Comb. Sci, ICT,Economics (x 1.5)"
"",,M,4,5,5**,3,,5**,5*,,,46.5,,
"",,LQ,3,4,5*,4,5*,5,4,3,,43.75,,
"",,UQ,3,3,5,3,5,4,4,,,29.5,,• Mathematics (x 1.5)
JS4434,Electronic Engineering,M,3,3,5,3,5,4,3,,,28,Best 5,• M1 or M2 (x 1.5)
"",,LQ,5,4,3,4,,5,5,5,,26.5,,• Physics (x 1.5)
